%x,y,z,time,dist1,dist2,speed,idiothetic turning angle,three-dimensional angle
0.12800,0.18100,0.10800,0.00640,0.00436,0.00943,2.13672,14.67568,-117.93835
0.13200,0.18500,0.10500,0.00656,0.00640,0.01068,40.01953,12.45458,-117.22563
0.13500,0.19000,0.10200,0.00755,0.00656,0.01288,6.62368,8.21152,-121.99282
0.13900,0.19500,0.09800,0.00693,0.00755,0.01407,-12.17715,6.20854,-125.26439
0.14300,0.19900,0.09400,0.00707,0.00693,0.01446,49.48717,11.53696,-135.00000
0.14600,0.20300,0.08900,0.00755,0.00707,0.01393,14.73139,13.08146,-121.99282
0.15000,0.20800,0.08500,0.07945,0.00755,0.01453,0.10500,125.34238,-94.33081
0.15600,0.12900,0.07900,0.08161,0.07945,0.07534,36.78444,1.29879,-94.21596
0.16400,0.04800,0.07300,0.17401,0.08161,0.16106,0.88328,173.68508,-89.67074
0.16200,0.22200,0.07400,0.00510,0.17401,0.09333,-1.03022,39.05780,-101.30993
0.16500,0.22600,0.07300,0.00648,0.00510,0.17800,3.69494,14.45039,-98.87640
0.17000,0.23000,0.07200,0.00566,0.00648,0.01149,-7.90334,10.89339,-90.00000
0.17400,0.23400,0.07200,0.00510,0.00566,0.01208,-10.10153,13.89789,-78.69007
0.17700,0.23800,0.07300,0.00592,0.00510,0.01068,6.21832,21.84545,-80.26852
0.18200,0.24100,0.07400,0.08769,0.00592,0.01082,0.07235,113.39531,-90.00000
0.19300,0.15400,0.07400,0.08188,0.08769,0.08552,-15.09340,1.22091,-90.00000
0.20500,0.07300,0.07400,0.17528,0.08188,0.16957,0.87670,174.36376,-88.69234
0.19600,0.24800,0.07800,0.00412,0.17528,0.09413,-1.02405,92.53785,-75.96376
0.20000,0.24800,0.07900,0.00316,0.00412,0.17514,-4.29490,23.02153,-90.00000
0.20300,0.24900,0.07900,0.00141,0.00316,0.00714,-1.80702,47.86959,-45.00000
0.20400,0.24900,0.08000,0.00141,0.00141,0.00424,Inf,0.00000,-45.00000
0.20500,0.24900,0.08100,0.00200,0.00141,0.00283,2.39697,45.00000,-0.00000
0.20500,0.24900,0.08300,0.00300,0.00200,0.00316,2.00000,0.00000,-0.00000
0.20500,0.24900,0.08600,0.00412,0.00300,0.00500,2.67857,14.03624,-14.03624
0.20600,0.24900,0.09000,0.00316,0.00412,0.00707,-4.29490,32.47119,-18.43495
0.20500,0.24900,0.09300,0.00224,0.00316,0.00700,-3.43726,31.94806,-26.56505
0.20500,0.24800,0.09500,0.00283,0.00224,0.00520,3.78995,18.43495,-45.00000
0.20500,0.24600,0.09700,0.00374,0.00283,0.00500,3.10816,19.10661,-57.68847
0.20400,0.24300,0.09900,0.00592,0.00374,0.00648,1.71636,25.37693,-80.26852
0.20100,0.23800,0.10000,0.00583,0.00592,0.00943,-65.73422,21.93110,-59.03624
0.19800,0.23400,0.10300,0.00539,0.00583,0.01153,-13.25216,9.16235,-68.19859
0.19500,0.23000,0.10500,0.00600,0.00539,0.01118,8.82814,7.95580,-70.52878
0.19100,0.22600,0.10700,0.00574,0.00600,0.01136,-23.07692,21.81105,-69.62547
0.18600,0.22400,0.10900,0.00671,0.00574,0.01153,5.92223,16.22975,-53.39572
0.18100,0.22200,0.11300,0.00748,0.00671,0.01233,8.71195,5.11109,-57.68847
0.17500,0.22000,0.11700,0.00806,0.00748,0.01418,12.90227,6.01728,-51.67118
0.16900,0.21800,0.12200,0.00883,0.00806,0.01552,10.47046,4.33743,-55.51861
0.16200,0.21600,0.12700,0.00714,0.00883,0.01688,-5.22589,10.57576,-45.56176
0.15700,0.21500,0.13200,0.00539,0.00714,0.01591,-4.08082,15.82601,-56.14549
0.15300,0.21300,0.13500,0.00510,0.00539,0.01241,-18.56953,10.49148,-53.96011
0.14900,0.21200,0.13800,0.00361,0.00510,0.01044,-3.42216,22.38014,-33.69007
0.14700,0.21200,0.14100,0.00400,0.00361,0.00854,9.24500,33.69007,-0.00000
0.14700,0.21200,0.14500,0.00520,0.00400,0.00728,3.33333,15.79317,-15.79317
0.14600,0.21300,0.15000,0.00510,0.00520,0.00911,-51.96152,25.06583,-11.30993
0.14700,0.21300,0.15500,0.00400,0.00510,0.01005,-4.63547,11.30993,-0.00000
0.14700,0.21300,0.15900,0.00316,0.00400,0.00906,-4.76190,18.43495,-18.43495
0.14800,0.21300,0.16200,0.00245,0.00316,0.00707,-4.45391,49.79703,-35.26439
0.14700,0.21200,0.16400,0.00361,0.00245,0.00510,2.11163,96.50141,-90.00000
0.15000,0.21000,0.16400,0.00245,0.00361,0.00412,-3.10823,25.06583,-114.09484
0.15200,0.20900,0.16300,0.00374,0.00245,0.00592,1.89883,29.20593,-105.50136
0.15400,0.20600,0.16200,0.00469,0.00374,0.00600,3.93859,14.38116,-115.23940
0.15700,0.20300,0.16000,0.00539,0.00469,0.00837,6.70059,8.20673,-111.80141
0.16000,0.19900,0.15800,0.00583,0.00539,0.01005,12.23901,9.16235,-120.96376
0.16300,0.19500,0.15500,0.00640,0.00583,0.01118,10.22974,7.69605,-117.93835
0.16700,0.19100,0.15200,0.00539,0.00640,0.01221,-6.33973,16.85840,-123.85451
0.16900,0.18700,0.14900,0.00458,0.00539,0.01166,-6.64835,21.25013,-102.60438
0.17100,0.18300,0.14800,0.00640,0.00458,0.00980,2.51790,17.40055,-90.00000
0.17500,0.17800,0.14800,0.00500,0.00640,0.01086,-4.57366,1.78991,-90.00000
0.17800,0.17400,0.14800,0.00458,0.00500,0.01140,-11.90476,33.98049,-64.12331
